frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
70,1,3588.533,-0.042,-0.021,0.981,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
71,1,3588.543,-0.044,-0.023,0.986,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
72,1,3588.553,-0.048,-0.021,0.986,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
73,1,3588.563,-0.042,-0.021,0.995,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
74,1,3588.573,-0.041,-0.026,0.985,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
75,1,3588.583,-0.048,-0.021,0.986,0.0,0.0,0.0,15,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
76,1,3588.593,-0.042,-0.022,0.99,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
77,1,3588.603,-0.045,-0.019,0.986,0.0,0.0,0.0,14,-12,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
78,1,3588.613,-0.042,-0.022,0.993,0.0,0.0,0.0,15,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
79,1,3588.623,-0.046,-0.019,0.985,0.0,0.0,0.0,15,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
80,1,3588.633,-0.049,-0.021,0.985,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
81,1,3588.643,-0.039,-0.027,0.989,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
82,1,3588.653,-0.049,-0.021,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
83,1,3588.663,-0.045,-0.02,0.99,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
84,1,3588.673,-0.043,-0.021,0.986,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
85,1,3588.684,-0.046,-0.025,0.992,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
86,1,3588.694,-0.044,-0.022,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
87,1,3588.704,-0.041,-0.019,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
88,1,3588.714,-0.048,-0.024,0.986,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
89,1,3588.724,-0.043,-0.026,0.989,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
90,1,3588.733,-0.046,-0.019,0.989,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
91,1,3588.743,-0.042,-0.02,0.983,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
92,1,3588.753,-0.048,-0.021,0.988,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
93,1,3588.763,-0.044,-0.021,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
94,1,3588.773,-0.044,-0.021,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
95,1,3588.783,-0.047,-0.018,0.983,0.0,0.0,0.0,14,-11,-14,2.53,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
96,1,3588.794,-0.042,-0.023,0.988,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
97,1,3588.803,-0.044,-0.023,0.988,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
98,1,3588.814,-0.041,-0.021,0.987,0.0,0.0,0.0,14,-11,-13,2.53,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
99,1,3588.824,-0.048,-0.02,0.987,0.0,0.0,0.0,14,-11,-13,2.53,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
100,1,3588.834,-0.045,-0.023,0.993,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
101,1,3588.844,-0.043,-0.023,0.992,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
102,1,3588.854,-0.042,-0.019,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
103,1,3588.864,-0.047,-0.02,0.982,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
104,1,3588.874,-0.043,-0.024,0.984,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
105,1,3588.884,-0.038,-0.023,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
106,1,3588.894,-0.046,-0.018,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
107,1,3588.904,-0.043,-0.021,0.986,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
108,1,3588.914,-0.044,-0.021,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
109,1,3588.924,-0.04,-0.021,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
110,1,3588.934,-0.049,-0.021,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
111,1,3588.944,-0.045,-0.021,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
112,1,3588.954,-0.043,-0.025,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
113,1,3588.964,-0.041,-0.021,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
114,1,3588.974,-0.047,-0.021,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
115,1,3588.984,-0.045,-0.021,0.989,0.0,0.0,0.0,15,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
116,1,3588.994,-0.04,-0.024,0.989,0.0,0.0,0.0,14,-12,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
117,1,3589.004,-0.044,-0.023,0.986,0.0,0.0,0.0,15,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
118,1,3589.014,-0.042,-0.02,0.982,0.0,0.0,0.0,15,-12,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
119,1,3589.024,-0.045,-0.022,0.985,0.0,0.0,0.0,15,-12,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
120,1,3589.034,-0.043,-0.024,0.992,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
121,1,3589.044,-0.04,-0.017,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
122,1,3589.054,-0.047,-0.023,0.988,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
123,1,3589.064,-0.047,-0.024,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
124,1,3589.074,-0.04,-0.021,0.994,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
125,1,3589.084,-0.04,-0.021,0.988,0.0,0.0,0.0,14,-12,-14,2.53,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
126,1,3589.094,-0.048,-0.018,0.983,0.0,0.0,0.0,14,-11,-14,2.53,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
127,1,3589.104,-0.045,-0.019,0.982,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
