Time,Speed,accX,accY,accZ,Magnitude
19.531,1500,-0.01574863,-0.03324176,0.0041511,111.536482660095
19.541,1500,-0.01674863,-0.02324176,0.0131511,111.536482660095
19.551,1500,-0.01774863,-0.01824176,-0.0058489,111.536482660095
19.561,1500,-0.01374863,-0.02624176,0.0021511,111.536482660095
19.572,1500,0.00525137,-0.01524176,-0.0028489,111.536482660095
19.582,1500,0.00325137,-0.00724176,0.0011511,111.536482660095
19.592,1500,0.02425137,-0.00324176,0.0031511,111.536482660095
19.602,1500,0.03425137,0.01375824,0.0021511,111.536482660095
19.611,1500,0.04825137,0.03875824,0.0041511,111.536482660095
19.621,1500,0.06725137,0.07175824,0.0031511,111.536482660095
19.631,1500,0.06925137,0.10275824,0.0041511,111.536482660095
19.641,1500,0.08925137,0.11875824,-0.0038489,111.536482660095
19.651,1500,0.07225137,0.14275824,-0.0058489,77.0229326772476
19.661,1500,0.04025137,0.17375824,-0.0358489,77.0229326772476
19.671,1500,0.09225137,0.20775824,-0.0298489,77.0229326772476
19.681,1500,0.00825137,0.12775824,0.0161511,77.0229326772476
19.691,1500,0.07225137,0.18075824,0.0511511,77.0229326772476
19.701,1500,0.24125137,0.16475824,0.0201511,77.0229326772476
19.712,1500,0.20825137,0.13975824,0.0561511,77.0229326772476
19.721,1500,-0.12374863,0.03675824,0.0701511,77.0229326772476
19.732,1500,-0.12574863,0.06375824,-0.0388489,77.0229326772476
19.742,1500,0.14325137,0.01675824,-0.1468489,77.0229326772476
19.752,1500,-0.23974863,0.01675824,0.0381511,77.0229326772476
19.761,1500,-0.33274863,0.00375824,0.0951511,77.0229326772476
19.771,1500,0.10025137,0.16975824,0.3891511,77.0229326772476
19.781,1500,0.22125137,0.14675824,0.3581511,77.0229326772476
19.791,1500,0.26725137,0.16075824,0.3101511,77.0229326772476
19.801,1500,0.45525137,0.04775824,0.1281511,77.0229326772476
19.811,1500,-0.02274863,-0.06424176,-0.2208489,77.0229326772476
19.821,1500,-0.05974863,-0.08324176,-0.3598489,77.0229326772476
19.832,1500,-0.17174863,-0.11024176,-0.1668489,77.0229326772476
19.842,1500,-0.22674863,-0.02224176,0.0441511,77.0229326772476
