Time,Speed,accX,accY,accZ,velocity_magnitude
3.56,1500,0.02225137,0.00175824,-0.0008489,0
3.57,1500,0.02025137,0.00975824,-0.0028489,0
3.58,1500,0.02025137,0.00875824,-0.0008489,0
3.59,1500,0.02225137,0.00275824,0.0041511,0
3.6,1500,0.02325137,0.00475824,0.0001511,0
3.61,1500,0.02025137,0.01075824,-0.0038489,0
3.62,1500,0.02125137,0.00775824,0.0001511,0
3.63,1500,0.02225137,0.00375824,-0.0008489,0
3.64,1500,0.02225137,0.00575824,-0.0018489,0
3.65,1500,0.02325137,0.00775824,0.0001511,0
3.66,1500,0.02325137,0.00475824,0.0011511,0
3.67,1500,0.02425137,0.00475824,0.0001511,0
3.68,1500,0.02325137,0.00475824,0.0001511,0
3.69,1500,0.02025137,0.00575824,-0.0008489,0
3.7,1500,0.02025137,0.00475824,-0.0058489,0
3.71,1500,0.02125137,0.00375824,0.0021511,0
3.72,1500,0.02225137,0.00675824,-0.0028489,0
3.73,1500,0.02025137,0.00675824,-0.0018489,0
3.74,1500,0.01925137,0.00175824,0.0021511,0
3.75,1500,0.02425137,0.00475824,-0.0018489,0
3.76,1500,0.02225137,0.00675824,-0.0018489,0
3.77,1500,0.02125137,0.00775824,-0.0048489,0
3.78,1500,0.02425137,0.00575824,-0.0008489,0
3.79,1500,0.02425137,0.00575824,0.0011511,0
3.8,1500,0.02025137,0.00575824,0.0001511,0
3.81,1500,0.02525137,0.00575824,-0.0018489,0
3.82,1500,0.02325137,0.00475824,-0.0008489,0
3.831,1500,0.02325137,0.00575824,0.0001511,0
3.841,1500,0.02125137,0.00875824,-0.0008489,0
3.85,1500,0.02225137,0.00675824,-0.0028489,0
3.86,1500,0.02025137,0.00275824,-0.0028489,0
3.87,1500,0.02025137,0.00475824,-0.0028489,0
3.88,1500,0.02325137,0.00675824,-0.0008489,0
3.89,1500,0.02325137,0.00675824,0.0001511,0
3.9,1500,0.02225137,0.00475824,0.0031511,0
3.91,1500,0.02225137,0.00275824,0.0011511,0
3.92,1500,0.02325137,0.00575824,-0.0018489,0
3.93,1500,0.02325137,0.00575824,-0.0008489,0
3.941,1500,0.02125137,0.00275824,0.0021511,0
3.95,1500,0.02225137,0.00375824,-0.0008489,0
3.96,1500,0.02325137,0.00875824,-0.0018489,0
3.97,1500,0.02025137,0.00575824,0.0001511,0
3.98,1500,0.02425137,0.00275824,0.0001511,0
3.99,1500,0.02525137,0.00675824,-0.0028489,0
4,1500,0.01825137,0.00975824,0.0001511,0
4.01,1500,0.02325137,0.00375824,0.0001511,0
4.021,1500,0.02125137,0.00575824,0.0021511,0
4.03,1500,0.02425137,0.00275824,-0.0028489,0
4.04,1500,0.01925137,0.00675824,-0.0008489,0
4.05,1500,0.02225137,0.00775824,0.0001511,0
4.06,1500,0.02525137,0.00275824,0.0001511,0
4.071,1500,0.01925137,0.00675824,-0.0008489,0
4.08,1500,0.02125137,0.00875824,-0.0048489,0
4.09,1500,0.02425137,0.00775824,0.0011511,0
4.1,1500,0.02025137,0.00775824,0.0001511,0
4.11,1500,0.02125137,0.00675824,-0.0018489,0
4.12,1500,0.02425137,0.00775824,-0.0038489,0
4.13,1500,0.02125137,0.00475824,-0.0028489,0
4.14,1500,0.02025137,0.00575824,0.0001511,0
4.15,1500,0.02325137,0.00675824,-0.0018489,0
4.16,1500,0.02225137,0.00775824,-0.0018489,0
4.17,1500,0.02125137,0.00575824,0.0011511,0
4.18,1500,0.02225137,0.00475824,0.0001511,0
4.19,1500,0.02025137,0.00675824,-0.0008489,0
4.2,1500,0.02525137,0.00475824,-0.0018489,0
4.211,1500,0.02325137,0.00375824,-0.0008489,0
4.221,1500,0.02425137,0.00575824,-0.0008489,0
4.23,1500,0.02125137,0.00575824,-0.0028489,0
4.24,1500,0.02225137,0.00575824,-0.0028489,0
4.25,1500,0.02425137,0.00575824,-0.0008489,0
4.26,1500,0.02225137,0.00775824,-0.0048489,0
4.271,1500,0.02025137,0.00375824,0.0021511,0
4.281,1500,0.02425137,0.00675824,0.0021511,0
4.291,1500,0.02425137,0.00375824,-0.0028489,0
4.301,1500,0.02525137,0.00375824,-0.0008489,0
4.311,1500,0.02425137,0.00575824,-0.0008489,0
4.321,1500,0.02325137,0.00875824,0.0021511,0
4.331,1500,0.02325137,0.00575824,-0.0038489,0
4.341,1500,0.02225137,0.00275824,-0.0008489,0
4.35,1500,0.02325137,0.00675824,-0.0028489,0
4.361,1500,0.02125137,0.00475824,0.0001511,0
4.371,1500,0.02125137,0.00675824,0.0001511,0
4.381,1500,0.02025137,0.00675824,-0.0018489,0
4.391,1500,0.02325137,0.00675824,0.0011511,0
4.401,1500,0.02525137,0.00475824,-0.0028489,0
4.411,1500,0.01825137,0.00475824,-0.0018489,0
4.421,1500,0.02325137,0.00675824,-0.0008489,0
4.431,1500,0.02425137,0.00275824,0.0011511,0
4.441,1500,0.02225137,0.00775824,0.0011511,0
4.451,1500,0.02225137,0.00675824,-0.0018489,0
4.461,1500,0.02425137,0.00275824,-0.0008489,0
4.47,1500,0.02225137,0.00475824,-0.0008489,0
4.48,1500,0.02325137,0.00575824,-0.0018489,0
4.49,1500,0.02225137,0.00875824,-0.0008489,0
4.5,1500,0.02325137,0.00475824,0.0001511,0
4.511,1500,0.02225137,0.00575824,0.0011511,0
4.52,1500,0.02325137,0.00475824,-0.0018489,0
4.53,1500,0.02125137,0.00475824,0.0001511,0
4.541,1500,0.01925137,0.00675824,-0.0018489,0
4.551,1500,0.02325137,0.00675824,0.0021511,0
4.561,1500,0.02325137,0.00675824,0.0001511,0
4.57,1500,0.02125137,0.00275824,-0.0018489,0
4.58,1500,0.02025137,0.00675824,-0.0018489,0
4.59,1500,0.02525137,0.00475824,0.0011511,0
4.601,1500,0.02225137,0.00675824,-0.0018489,0
4.611,1500,0.02225137,0.00775824,-0.0008489,0
4.621,1500,0.02325137,0.00475824,0.0031511,0
4.631,1500,0.02325137,0.00475824,0.0001511,0
4.641,1500,0.02325137,0.00875824,-0.0048489,0
4.651,1500,0.02025137,0.00775824,0.0001511,0
4.661,1500,0.02125137,0.00375824,0.0001511,0
4.67,1500,0.02025137,0.00275824,0.0001511,0
4.681,1500,0.02325137,0.00875824,-0.0038489,0
4.69,1500,0.02525137,0.00875824,-0.0018489,0
4.7,1500,0.02425137,0.00175824,0.0021511,0
4.711,1500,0.02025137,0.00475824,0.0011511,0
4.72,1500,0.02125137,0.00675824,-0.0048489,0
4.73,1500,0.02225137,0.00375824,-0.0028489,0
4.741,1500,0.02325137,0.00275824,0.0011511,0
4.75,1500,0.02225137,0.00475824,-0.0018489,0
4.761,1500,0.02325137,0.00875824,-0.0048489,0
4.771,1500,0.02425137,0.00375824,0.0011511,0
4.78,1500,0.01925137,0.00475824,0.0011511,0
4.791,1500,0.02325137,0.00675824,0.0021511,0
4.8,1500,0.02125137,0.00875824,0.0011511,0
4.81,1500,0.02425137,0.00575824,0.0001511,0
4.821,1500,0.02525137,0.00575824,0.0011511,0
4.83,1500,0.02225137,0.00775824,0.0001511,0
4.84,1500,0.01925137,0.00675824,0.0001511,0
4.851,1500,0.02125137,0.00575824,0.0021511,0
4.86,1500,0.02325137,0.00775824,-0.0008489,0
4.87,1500,0.02325137,0.00375824,-0.0018489,0
4.881,1500,0.02225137,0.00675824,-0.0008489,0
4.89,1500,0.02325137,0.00775824,0.0001511,0
4.901,1500,0.02525137,0.00275824,0.0001511,0
4.911,1500,0.01925137,0.00575824,-0.0028489,0
4.92,1500,0.02025137,0.00875824,-0.0018489,0
4.931,1500,0.02525137,0.00675824,0.0041511,0
4.941,1500,0.02125137,0.00275824,0.0021511,0
4.95,1500,0.02225137,0.00675824,-0.0038489,0
4.961,1500,0.02325137,0.00775824,-0.0028489,0
4.97,1500,0.02225137,0.00375824,-0.0028489,0
4.98,1500,0.02025137,0.00375824,0.0011511,0
4.991,1500,0.02125137,0.00875824,-0.0018489,0
5.001,1500,0.02125137,0.00675824,-0.0008489,0
5.01,1500,0.01925137,0.00075824,0.0021511,0
5.022,1500,0.02425137,0.00475824,0.0001511,0
5.031,1500,0.02125137,0.00675824,-0.0038489,0
5.04,1500,0.02325137,0.00475824,-0.0018489,0
5.05,1500,0.02225137,0.00375824,0.0001511,0
5.061,1500,0.02225137,0.00775824,0.0001511,0
5.07,1500,0.02325137,0.00775824,-0.0048489,0
5.081,1500,0.02025137,0.00675824,-0.0018489,0
5.09,1500,0.02325137,0.00475824,-0.0018489,0
5.101,1500,0.02425137,0.00275824,-0.0008489,0
5.111,1500,0.01925137,0.00775824,0.0001511,0
