Time,Velocity_X,Velocity_Y,Velocity_Z,Velocity_Magnitude
24.156,-5.025773773894e-06,-3.140498855703375e-05,4.771043098149051e-06,3.216045025397153e-05
24.166,-1.7895792738952798e-06,-2.7041029307044226e-05,2.515513598150393e-06,2.7216679970644103e-05
24.176,-5.859339023893835e-06,-2.547196530703493e-05,3.888444598149226e-06,2.6424853297465855e-05
24.186,-1.017426502389659e-05,-2.6305530557044112e-05,3.152945848150493e-06,2.838023386417801e-05
24.196,-1.2282694773896921e-05,-3.0081090807044703e-05,3.4471453481505387e-06,3.2674446071841214e-05
24.206,-1.2969160273892418e-05,-2.895332605703424e-05,2.858746348149431e-06,3.1853832401422355e-05
24.217,-1.016689660128379e-05,-2.510658678774225e-05,6.096019579649575e-07,2.7093875713503675e-05
24.226,-3.905377446505649e-06,-1.4628342876336555e-05,2.3398568833500888e-07,1.5142494431555424e-05
24.236,-2.0347455238953183e-06,-8.653560557041353e-06,-6.226144018500973e-07,8.911338191022998e-06
24.247,-2.3460932262843363e-06,-5.150054037743641e-06,-7.388124170349485e-07,5.707280771581318e-06
24.256,8.165245284945313e-07,-3.860641176336146e-06,-2.0731356166500786e-07,3.951485987689389e-06
24.266,1.7408147261046539e-06,-2.8676370570394293e-06,7.012833481498605e-07,3.4271820109122974e-06
24.276,1.3975819761052187e-06,1.6434219429602569e-06,1.6191759815002548e-07,2.163397414052283e-06
24.286,4.9770092261057785e-06,6.595780192961031e-06,-1.505212901850235e-06,8.398845341503526e-06
24.297,5.097154123715145e-06,1.1624220787255189e-05,-6.309392670349559e-07,1.2708326932781063e-05
24.306,7.082973878494769e-06,1.3967848523664528e-05,1.0283243383350392e-06,1.569480048577518e-05
24.316,1.4440426476102128e-05,2.164898794295569e-05,1.4858153481497046e-06,2.606553745877398e-05
24.327,1.6909264048719782e-05,2.8560305337263236e-05,6.096019579651543e-07,3.319617246271307e-05
24.336,1.1716616003490319e-05,2.5000329773655077e-05,-2.955734116648946e-07,2.7611282893165853e-05
24.346,1.0860999226106698e-05,2.768007769296433e-05,-2.289744901850358e-06,2.9822658114151754e-05
24.357,1.3996688998714523e-05,2.8182749312254035e-05,-3.058085142034787e-06,3.161528975764773e-05
24.366,9.112950428494846e-06,1.85132307986647e-05,-1.5753412366650598e-06,2.069461959371974e-05
24.377,1.059868477371476e-05,1.8474165812254714e-05,-2.087226792034855e-06,2.1400547588149285e-05
24.387,1.3655894476107133e-05,1.5078532442962358e-05,-2.3034840185003593e-07,2.0344499378512036e-05
24.396,9.333600053494854e-06,1.299699017366449e-05,2.175702388335083e-06,1.614842173141194e-05
24.407,4.180232348715209e-06,1.302657173725509e-05,-3.763694203499747e-08,1.3680911163168332e-05
24.416,7.282646784945275e-07,7.3042298486642764e-06,-5.01747538666519e-06,8.891411720297958e-06
24.426,-3.2605767738943513e-06,6.154480942958775e-06,-3.6626759018492715e-06,7.869192546741337e-06
24.436,-1.8215718023897847e-05,-1.494706057040234e-06,-5.18270665185081e-06,1.8997551883394034e-05
24.446,-8.556167773896337e-06,-5.025100057040786e-06,-5.084640151850795e-06,1.1149583087817534e-05
24.457,6.769187948715027e-06,4.5934976225596793e-07,-6.848758420349522e-07,6.8192347523836176e-06
24.467,1.7408147261046534e-06,5.271882442958951e-06,3.0901734814993845e-07,5.560456107592189e-06
24.477,5.908640976105923e-06,5.4680154429608554e-06,-7.697141518501205e-07,8.087254846023755e-06
24.487,1.091003247610283e-05,4.095084442959185e-06,-3.8097756518492427e-06,1.2260216790171702e-05
24.497,-2.4270115238953784e-06,1.2511559429601953e-06,5.05150348150079e-07,2.7768602782570336e-06
24.507,-2.17461120238984e-05,-8.261294557041292e-06,-5.735811518500899e-07,2.3269537409495194e-05
24.517,-1.502855677389201e-05,-9.683258807038074e-06,-8.271801401848353e-06,1.9698876065953515e-05
24.527,-4.241241773895663e-06,3.800884942960594e-06,7.993498481501248e-07,5.750984117001177e-06
24.537,-1.0664597523892878e-05,9.390675442958133e-06,7.4188385981485235e-06,1.602989681086492e-05
24.547,1.717507261050268e-07,4.977682942960778e-06,-2.8781439018504502e-06,5.752437580045456e-06
24.557,-3.3096100238943415e-06,8.098566929598387e-07,-4.937540401849018e-06,5.999057558757468e-06
24.567,-2.998369802389969e-05,-1.0320691057041614e-05,-4.594307651850718e-06,3.2041324471425314e-05
24.577,-1.8902183523897955e-05,-1.7626645307042757e-05,-2.24071165185035e-06,2.5942473965644635e-05
24.587,-7.673569273893474e-06,-1.502788305703701e-05,3.986511098149207e-06,1.7338200751891438e-05
24.597,-1.2282694773896921e-05,-1.3262686057042076e-05,3.937477848150615e-06,1.8500463890428528e-05
24.607,-1.1694295773892673e-05,-1.3703985307037273e-05,6.193007348148768e-06,1.905017341015567e-05
24.616,-1.895368187150622e-05,-1.9879803951336754e-05,3.543730063335135e-06,2.7694885527686033e-05
24.626,-1.7431186023897725e-05,-3.287598605704514e-05,1.5348485981502401e-06,3.724288476530782e-05
24.636,-7.526469523893502e-06,-3.6798646057032676e-05,9.233068848148163e-06,3.8678645988187175e-05
24.647,-1.4535759176283486e-05,-4.204267133774107e-05,8.160722457964431e-06,4.5226893537807225e-05
24.657,-9.880065523896545e-06,-3.4690216307045424e-05,4.5611709815007136e-07,3.607263290908101e-05
24.667,-2.181845273895341e-06,-2.4785499807043874e-05,-8.324865185001302e-08,2.488148668834373e-05
24.677,-2.7212110238944585e-06,-1.703824630703661e-05,4.561170981499093e-07,1.7260210585709438e-05
24.687,-3.5057430238955477e-06,-1.4880783307042327e-05,1.7800148481502782e-06,1.539143914130116e-05
24.697,-2.1328120238945755e-06,-1.287042005703744e-05,2.221314098149558e-06,1.3233700763448554e-05
24.707,-1.446346523895226e-06,-9.634225557041506e-06,1.6329150981502554e-06,9.878088482540667e-06
24.717,-7.598810238948488e-07,-7.525795807038503e-06,6.522500981498703e-07,7.592130918935099e-06
24.727,-7.341552389501146e-08,-4.2896013070406705e-06,-1.1129469018501741e-06,4.432236457912834e-06
24.737,-7.108477738948587e-07,-1.6418058070396734e-06,-8.677806518498274e-07,1.9884350945920717e-06
24.746,-1.3017118715055494e-06,-7.715464263360292e-07,9.841944133350373e-07,1.8050973180552554e-06
24.756,5.149834761050805e-07,1.0550229429601648e-06,1.829048098150286e-06,2.173407080180972e-06
24.766,2.7705129761044485e-06,3.3105524429593417e-06,9.954828481498019e-07,4.430178972604565e-06
24.776,1.5937149761052491e-06,4.585416942960717e-06,-5.735811518500897e-07,4.888248285798404e-06
24.786,1.2014489761051878e-06,4.046051192960632e-06,-1.1129469018501741e-06,4.364935360870795e-06
24.796,-3.5547762738942928e-06,5.646904429598877e-07,-1.1619801518497688e-06,3.782262223472196e-06
24.807,-3.0472687012842874e-06,2.72468591225581e-06,2.551318657964822e-06,4.818608383418549e-06
24.817,3.898277726105609e-06,6.2035141929609705e-06,2.4664803481503855e-06,7.730697438131399e-06
24.827,-2.4760447738953864e-06,4.3402506929606786e-06,-4.545274401850711e-06,6.754857007235583e-06
24.837,-8.261968273893356e-06,5.860281442958834e-06,-2.976210401849408e-06,1.0557501915964053e-05
24.847,1.936947726105303e-06,7.037079442961099e-06,7.012833481501098e-07,7.332397419303104e-06
24.857,8.99773572610321e-06,7.527411942958502e-06,5.457508598148914e-06,1.2938530784237354e-05
24.867,1.3999127226107188e-05,1.0714573192961676e-05,1.1439565098151787e-05,2.1015263296825977e-05
24.877,1.2331996726102547e-05,1.1597171692957695e-05,1.3646061348147283e-05,2.174367781323901e-05
24.887,-1.1449129523896787e-05,1.2136537442961898e-05,2.4482409598153826e-05,2.9627124188674738e-05
24.896,-2.4205142946506418e-05,1.3879588673664526e-05,3.4478807488336305e-05,4.435448221576577e-05
24.906,-8.556167773893298e-06,8.851309692958238e-06,2.458047609814511e-05,2.7490971162677203e-05
24.916,4.241510476105663e-06,-1.7889055570402795e-06,1.4817848150002287e-08,4.603348105406268e-06
24.927,7.955792598714946e-06,7.794723962255457e-06,6.542625207964545e-06,1.2917364364816068e-05
24.937,-6.153538523895962e-06,1.3492224429602108e-06,5.065242598150793e-06,8.083509147875111e-06
24.947,-9.095533523893191e-06,-6.9373968070386194e-06,-5.245479018498952e-07,1.1451259976260676e-05
24.957,-1.8876457738952944e-06,3.800884942960594e-06,1.0360833598151619e-05,1.119628535568457e-05
24.967,-1.3998858523892217e-05,-4.240568057039157e-06,2.7116465981494618e-06,1.487627254024294e-05
24.977,1.0860999226106701e-05,1.7414884429602725e-06,5.653641598150885e-06,1.2367608883967695e-05
24.987,1.3263628476102364e-05,9.930041192958024e-06,9.723401348148067e-06,1.9211301159033563e-05
24.997,-2.2051527389503393e-07,-4.191534807040655e-06,-8.76213390185137e-06,9.715584467165496e-06
25.007,-7.341552389501185e-08,-2.4753710570403865e-06,-2.1426451518503356e-06,3.2747183017673085e-06
25.017,1.8510186226101316e-05,3.0163529429594e-06,4.133610848149177e-06,1.9204481712490637e-05
25.027,8.311270226106298e-06,-4.9270335570407695e-06,-4.300108151850672e-06,1.0575623034184768e-05
25.037,-8.579475238948295e-07,-6.121075570398776e-07,2.319380598149539e-06,2.5476020046732396e-06
25.046,5.670816278494715e-06,-2.1837040263360823e-06,-4.134876886665157e-06,7.350097101872519e-06
