Time,Speed,accX,accY,accZ,velocity_magnitude
2.739,1500,-0.02374863,-0.00624176,-0.0188489,151.604113565769
2.749,1500,0.00025137,0.03275824,-0.0268489,151.604113565769
2.759,1500,-0.02974863,0.02775824,0.0001511,91.2941632075957
2.769,1500,-0.01674863,-0.00624176,-0.0078489,91.2941632075957
2.779,1500,-0.01874863,0.00675824,-0.0308489,91.2941632075957
2.789,1500,0.00525137,-0.01424176,-0.0038489,91.2941632075957
2.799,1500,-0.03874863,0.02475824,0.0041511,91.2941632075957
2.809,1500,-0.07374863,0.04775824,-0.0218489,91.2941632075957
2.819,1500,-0.02974863,-0.01724176,-0.0618489,91.2941632075957
2.829,1500,-0.02974863,-0.01224176,-0.0488489,91.2941632075957
2.838,1500,0.00825137,0.02375824,0.0051511,91.2941632075957
2.848,1500,-0.04274863,-0.00924176,0.0011511,91.2941632075957
2.858,1500,0.06425137,0.02975824,-0.0308489,91.2941632075957
2.868,1500,0.07525137,0.01975824,-0.0508489,91.2941632075957
2.878,1500,0.00725137,0.01175824,0.0071511,91.2941632075957
2.889,1500,0.03725137,0.00875824,-0.0338489,91.2941632075957
2.899,1500,0.01325137,0.02675824,0.0381511,91.2941632075957
2.909,1500,-0.00074863,-0.00624176,0.0041511,91.2941632075957
2.919,1500,0.01325137,0.01475824,-0.0048489,91.2941632075957
2.929,1500,-0.01574863,0.02275824,0.0051511,91.2941632075957
2.939,1500,0.01125137,-0.01024176,-0.0298489,91.2941632075957
2.949,1500,0.04325137,-0.02024176,-0.0328489,91.2941632075957
2.959,1500,0.04425137,0.01275824,0.0171511,91.2941632075957
2.969,1500,-0.03674863,-0.01224176,0.0181511,91.2941632075957
2.979,1500,0.04425137,0.04675824,0.0271511,91.2941632075957
2.989,1500,-0.02974863,-0.00424176,-0.0238489,91.2941632075957
2.999,1500,0.00525137,-0.01624176,0.0221511,91.2941632075957
3.008,1500,0.00525137,0.01275824,-0.0098489,91.2941632075957
3.018,1500,0.02225137,-0.01924176,-0.0028489,91.2941632075957
3.028,1500,0.01025137,0.02575824,0.0011511,91.2941632075957
3.038,1500,0.01125137,0.03875824,-0.0038489,91.2941632075957
3.049,1500,0.00625137,0.01275824,0.0391511,91.2941632075957
3.059,1500,0.00925137,0.04575824,0.0171511,91.2941632075957
3.069,1500,0.00625137,-0.02124176,-0.0028489,91.2941632075957
3.078,1500,0.04925137,-0.01024176,0.0071511,91.2941632075957
3.088,1500,0.05525137,0.03475824,-0.0288489,91.2941632075957
3.099,1500,-0.01374863,-0.02724176,-0.0358489,91.2941632075957
3.108,1500,-0.02074863,0.03075824,0.0041511,91.2941632075957
3.118,1500,0.01325137,0.00875824,0.0311511,91.2941632075957
