frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
169,1,25350.665,-0.044,0.091,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
170,1,25350.675,-0.045,0.086,0.989,0.0,0.0,0.0,13,-12,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
171,1,25350.685,-0.048,0.089,0.988,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
172,1,25350.695,-0.047,0.092,0.982,0.0,0.0,0.0,12,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
173,1,25350.705,-0.044,0.091,0.986,0.0,0.0,0.0,12,-12,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
174,1,25350.715,-0.046,0.088,0.985,0.0,0.0,0.0,12,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
175,1,25350.725,-0.045,0.09,0.986,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
176,1,25350.735,-0.05,0.092,0.984,0.0,0.0,0.0,13,-11,-16,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
177,1,25350.745,-0.048,0.091,0.984,0.0,0.0,0.0,13,-12,-15,2.68,5.22,2.45,0.998,0.045,0.024,0.022,
178,1,25350.755,-0.045,0.087,0.989,0.0,0.0,0.0,13,-12,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
179,1,25350.765,-0.048,0.09,0.984,0.0,0.0,0.0,13,-12,-15,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
180,1,25350.775,-0.049,0.09,0.983,0.0,0.0,0.0,13,-12,-15,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
181,1,25350.785,-0.047,0.091,0.983,0.0,0.0,0.0,12,-12,-16,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
182,1,25350.795,-0.042,0.089,0.99,0.0,0.0,0.0,12,-11,-15,2.69,5.22,2.45,0.998,0.045,0.024,0.022,
183,1,25350.805,-0.046,0.089,0.987,0.0,0.0,0.0,12,-11,-15,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
184,1,25350.815,-0.046,0.092,0.982,0.0,0.0,0.0,12,-11,-16,2.68,5.21,2.45,0.998,0.045,0.024,0.022,
185,1,25350.825,-0.044,0.088,0.986,0.0,0.0,0.0,12,-12,-16,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
186,1,25350.835,-0.046,0.086,0.986,0.0,0.0,0.0,12,-11,-16,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
187,1,25350.845,-0.047,0.092,0.988,0.0,0.0,0.0,12,-11,-15,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
188,1,25350.855,-0.045,0.094,0.982,0.0,0.0,0.0,12,-11,-15,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
189,1,25350.865,-0.045,0.091,0.987,0.0,0.0,0.0,12,-12,-15,2.69,5.21,2.45,0.998,0.045,0.024,0.022,
